pair_name,disease1_name,disease1_id,disease2_name,disease2_id,RR_score
blood_platelet_disorders & vascular_diseases,blood_platelet_disorders,31,vascular_diseases,295,17.643722
hypotrichosis & neoplasms_connective_and_soft_tissue,hypotrichosis,139,neoplasms_connective_and_soft_tissue,203,17.642612
death_sudden & hemorrhagic_disorders,death_sudden,79,hemorrhagic_disorders,129,17.535932
blood_platelet_disorders & precursor_cell_lymphoblastic_leukemia_lymphoma,blood_platelet_disorders,31,precursor_cell_lymphoblastic_leukemia_lymphoma,243,17.406526
hypotrichosis & lymphoma,hypotrichosis,139,lymphoma,172,17.387802
muscular_dystrophies & polyneuropathies,muscular_dystrophies,193,polyneuropathies,242,17.131524
amino_acid_metabolism_inborn_errors & mycobacterium_infections,amino_acid_metabolism_inborn_errors,7,mycobacterium_infections,196,17.125933
cholestasis & pancreatic_diseases,cholestasis,61,pancreatic_diseases,232,17.090401
head_and_neck_neoplasms & neoplasms_connective_and_soft_tissue,head_and_neck_neoplasms,123,neoplasms_connective_and_soft_tissue,203,16.90996
breast_diseases & lymphatic_diseases,breast_diseases,41,lymphatic_diseases,171,16.908781
immunologic_deficiency_syndromes & vasculitis,immunologic_deficiency_syndromes,141,vasculitis,296,16.670063
dementia & neuroendocrine_tumors,dementia,81,neuroendocrine_tumors,216,16.558341
cerebellar_ataxia & polyneuropathies,cerebellar_ataxia,57,polyneuropathies,242,16.354207
polyneuropathies & spinocerebellar_ataxias,polyneuropathies,242,spinocerebellar_ataxias,273,16.336404
immunologic_deficiency_syndromes & muscular_diseases,immunologic_deficiency_syndromes,141,muscular_diseases,191,16.335705
leukemia & lymphatic_diseases,leukemia,154,lymphatic_diseases,171,16.130007
hypopigmentation & sleep_disorders,hypopigmentation,137,sleep_disorders,269,15.601448
peripheral_nervous_system_diseases & spinocerebellar_ataxias,peripheral_nervous_system_diseases,239,spinocerebellar_ataxias,273,15.562401
colorectal_neoplasms & purine_pyrimidine_metabolism_inborn_errors,colorectal_neoplasms,68,purine_pyrimidine_metabolism_inborn_errors,249,15.552304
genital_diseases_female & ovarian_diseases,genital_diseases_female,110,ovarian_diseases,228,15.500065
adenocarcinoma & dyssomnias,adenocarcinoma,2,dyssomnias,94,15.479231
leukemia & lymphoma,leukemia,154,lymphoma,172,15.476673
lymphoma & stomatognathic_diseases,lymphoma,172,stomatognathic_diseases,279,15.476673
liver_cirrhosis & varicose_veins,liver_cirrhosis,164,varicose_veins,294,15.370348
liver_cirrhosis_biliary & varicose_veins,liver_cirrhosis_biliary,165,varicose_veins,294,15.370348
amino_acid_metabolism_inborn_errors & muscular_diseases,amino_acid_metabolism_inborn_errors,7,muscular_diseases,191,15.31992
amino_acid_metabolism_inborn_errors & leukemia,amino_acid_metabolism_inborn_errors,7,leukemia,154,15.265526
aneurysm & disorders_of_sex_development,aneurysm,12,disorders_of_sex_development,89,15.06305
dwarfism & neoplasms_connective_and_soft_tissue,dwarfism,91,neoplasms_connective_and_soft_tissue,203,15.06223
autoimmune_diseases & stomatognathic_diseases,autoimmune_diseases,21,stomatognathic_diseases,279,15.052533
neuroendocrine_tumors & vasculitis,neuroendocrine_tumors,216,vasculitis,296,14.933226
ankylosis & spondylitis_ankylosing,ankylosis,13,spondylitis_ankylosing,278,14.865213
blood_coagulation_disorders & purine_pyrimidine_metabolism_inborn_errors,blood_coagulation_disorders,29,purine_pyrimidine_metabolism_inborn_errors,249,14.856028
blood_coagulation_disorders_inherited & purine_pyrimidine_metabolism_inborn_errors,blood_coagulation_disorders_inherited,30,purine_pyrimidine_metabolism_inborn_errors,249,14.856028
cholestasis & intestinal_neoplasms,cholestasis,61,intestinal_neoplasms,148,14.72547
behcet_syndrome & lupus_erythematosus_systemic,behcet_syndrome,26,lupus_erythematosus_systemic,170,14.326021
coronary_disease & neoplasms,coronary_disease,74,neoplasms,200,14.271991
hemorrhagic_disorders & metabolism_inborn_errors,hemorrhagic_disorders,129,metabolism_inborn_errors,184,14.235557
spinal_cord_diseases & spondylitis_ankylosing,spinal_cord_diseases,271,spondylitis_ankylosing,278,14.223416
abnormalities_multiple & vasculitis,abnormalities_multiple,0,vasculitis,296,14.186564
lupus_erythematosus_systemic & vasculitis,lupus_erythematosus_systemic,170,vasculitis,296,14.149361
death_sudden & stomatognathic_diseases,death_sudden,79,stomatognathic_diseases,279,13.977352
hair_diseases & precursor_cell_lymphoblastic_leukemia_lymphoma,hair_diseases,122,precursor_cell_lymphoblastic_leukemia_lymphoma,243,13.966382
bile_duct_diseases & pancreatic_diseases,bile_duct_diseases,27,pancreatic_diseases,232,13.744937
myocardial_infarction & myocardial_ischemia,myocardial_infarction,198,myocardial_ischemia,199,13.744556
coronary_artery_disease & myocardial_ischemia,coronary_artery_disease,73,myocardial_ischemia,199,13.744338
polyneuropathies & spinal_cord_diseases,polyneuropathies,242,spinal_cord_diseases,271,13.677588
anemia_aplastic & hypotrichosis,anemia_aplastic,10,hypotrichosis,139,13.650777
movement_disorders & sleep_disorders,movement_disorders,189,sleep_disorders,269,13.649014
demyelinating_diseases & spinocerebellar_degenerations,demyelinating_diseases,83,spinocerebellar_degenerations,274,13.589158
multiple_sclerosis & spinocerebellar_degenerations,multiple_sclerosis,190,spinocerebellar_degenerations,274,13.589158
